group,x_m,y_m
Group 2,-36.57972976062361,193.98671510078015
Group 2,-42.002663917368636,191.87401149396044
Group 2,-47.50902783040293,190.4284774475241
Group 2,-52.347953693355365,187.20382457481344
Group 2,-57.93774736261257,189.53891803438694
Group 2,-59.856631756568866,194.76507958683308
Group 2,-58.35489614392616,200.10243606565615
Group 2,-63.193822006878605,198.3233172393818
Group 2,-63.193822006878605,192.6523759800134
Group 2,-63.11039225062252,187.42621442827456
Group 2,-60.023491269081035,182.75602750912756
Group 2,-58.43832590018225,177.75225581014254
Group 2,-56.43601175000304,173.19326381737244
Group 3,73.71440801230898,-27.735968629496234
Group 3,74.38184606235767,-33.85168959437224
Group 3,76.96816850639581,-38.966656220441486
Group 3,79.0539124128311,-44.41520762564144
Group 3,79.80478021913586,-49.86375903154872
Group 3,82.80825144445443,-54.97872565691064
Group 3,85.14428461965798,-59.98249735589567
Group 3,87.31345828238253,-64.9862690548807
Group 3,88.56490462622381,-70.32362553370375
Group 3,89.98321048261042,-75.43859215906568
Group 3,86.22887145102025,-79.66399937199775
Group 3,80.72250753798598,-82.77745731833153
Group 3,75.54986264997602,-85.0013558508208
Group 3,71.46180459336152,-88.11481379715458
Group 3,68.54176312436537,-92.11783115662553
Group 3,73.0469699622603,-89.44915291650668
Group 3,77.88589582521274,-87.44764423747853
Group 3,83.22540022570169,-85.77972033758108
Group 3,88.0643260886873,-83.8894065842225
Group 3,88.81519389499206,-78.66324503248367
Group 3,94.07126853922493,-77.8848805457234
Group 3,100.49535977110932,-77.55129576588537
Group 3,105.75143441534219,-77.9960754721003
Group 3,110.5903602783278,-76.88412620620933
Group 3,111.42465784088864,-70.54601538716487
Group 3,113.76069101612536,-65.76463354093364
Group 3,116.84759199763367,-61.205641549578196
Group 3,120.93565005428135,-57.42501404356837
Group 3,126.27515445480347,-55.089920583287544
Group 3,131.78151836780458,-53.53319161047432
Group 3,136.87073349955844,-53.421996684097415
Group 3,143.04453546260825,-53.53319161047432
Group 3,148.46746961938646,-55.42350536312557
Group 3,154.1406930449329,-58.42576838308244
Group 3,158.81275939537318,-60.316082135733694
Group 3,163.40139598955736,-62.428785742553394
Group 3,168.2403218525098,-64.8750741285038
Group 3,172.57866917792575,-61.87281110925424
Group 3,174.33069405933668,-56.98023433664612
Group 3,168.99118965884773,-55.53470029020979
Group 3,169.40833844012818,-48.86300469132732
Group 3,171.57751210285272,-44.19281777218031
Group 3,176.83358674708558,-44.97118225894059
Group 3,181.8393721225502,-45.19357211240171
Group 3,186.92858725430406,-43.85923299234229
Group 3,191.10007506717463,-40.52338519325471
Group 3,197.60759605531513,-39.52263085374064
Group 3,202.9471004557709,-38.29948666076544
